step,layer,mean_acc,mean_acc_pct,best_layer_at_step,best_acc_at_step,best_acc_at_step_pct,num_datasets,resize_mode,classifier
7000,5,0.7652589757,76.5259,6,0.7692206903,76.9221,128,interp512,rf
7000,6,0.7692206903,76.9221,6,0.7692206903,76.9221,128,interp512,rf
7000,7,0.7646838491,76.4684,6,0.7692206903,76.9221,128,interp512,rf
7000,8,0.7561207226,75.6121,6,0.7692206903,76.9221,128,interp512,rf
8000,0,0.5740909096,57.4091,6,0.7670614979,76.7061,128,interp512,rf
8000,1,0.7196114146,71.9611,6,0.7670614979,76.7061,128,interp512,rf
8000,2,0.7361326814,73.6133,6,0.7670614979,76.7061,128,interp512,rf
8000,3,0.7638194846,76.3819,6,0.7670614979,76.7061,128,interp512,rf
8000,4,0.7655783624,76.5578,6,0.7670614979,76.7061,128,interp512,rf
8000,5,0.7669203477,76.6920,6,0.7670614979,76.7061,128,interp512,rf
8000,6,0.7670614979,76.7061,6,0.7670614979,76.7061,128,interp512,rf
8000,7,0.7643336045,76.4334,6,0.7670614979,76.7061,128,interp512,rf
8000,8,0.7554893681,75.5489,6,0.7670614979,76.7061,128,interp512,rf
9000,0,0.5748088409,57.4809,6,0.7731885337,77.3189,128,interp512,rf
9000,1,0.7210054100,72.1005,6,0.7731885337,77.3189,128,interp512,rf
9000,2,0.7356802082,73.5680,6,0.7731885337,77.3189,128,interp512,rf
9000,3,0.7686181987,76.8618,6,0.7731885337,77.3189,128,interp512,rf
9000,4,0.7701318005,77.0132,6,0.7731885337,77.3189,128,interp512,rf
9000,5,0.7700778152,77.0078,6,0.7731885337,77.3189,128,interp512,rf
9000,6,0.7731885337,77.3189,6,0.7731885337,77.3189,128,interp512,rf
9000,7,0.7687599249,76.8760,6,0.7731885337,77.3189,128,interp512,rf
9000,8,0.7542895041,75.4290,6,0.7731885337,77.3189,128,interp512,rf
10000,0,0.5789956274,57.8996,4,0.7696657855,76.9666,128,interp512,rf
10000,1,0.7211601909,72.1160,4,0.7696657855,76.9666,128,interp512,rf
10000,2,0.7390460132,73.9046,4,0.7696657855,76.9666,128,interp512,rf
10000,3,0.7678039875,76.7804,4,0.7696657855,76.9666,128,interp512,rf
10000,4,0.7696657855,76.9666,4,0.7696657855,76.9666,128,interp512,rf
10000,5,0.7686788038,76.8679,4,0.7696657855,76.9666,128,interp512,rf
10000,6,0.7673090858,76.7309,4,0.7696657855,76.9666,128,interp512,rf
10000,7,0.7654018633,76.5402,4,0.7696657855,76.9666,128,interp512,rf
10000,8,0.7516926376,75.1693,4,0.7696657855,76.9666,128,interp512,rf
11000,0,0.5760213824,57.6021,6,0.7687294782,76.8729,128,interp512,rf
11000,1,0.7209847951,72.0985,6,0.7687294782,76.8729,128,interp512,rf
11000,2,0.7411238686,74.1124,6,0.7687294782,76.8729,128,interp512,rf
11000,3,0.7625548469,76.2555,6,0.7687294782,76.8729,128,interp512,rf
11000,4,0.7659599859,76.5960,6,0.7687294782,76.8729,128,interp512,rf
11000,5,0.7686083041,76.8608,6,0.7687294782,76.8729,128,interp512,rf
11000,6,0.7687294782,76.8729,6,0.7687294782,76.8729,128,interp512,rf
11000,7,0.7676962788,76.7696,6,0.7687294782,76.8729,128,interp512,rf
11000,8,0.7504326064,75.0433,6,0.7687294782,76.8729,128,interp512,rf
12000,0,0.5756553320,57.5655,4,0.7726805460,77.2681,128,interp512,rf
12000,1,0.7256776702,72.5678,4,0.7726805460,77.2681,128,interp512,rf
12000,2,0.7430536046,74.3054,4,0.7726805460,77.2681,128,interp512,rf
12000,3,0.7686702124,76.8670,4,0.7726805460,77.2681,128,interp512,rf
12000,4,0.7726805460,77.2681,4,0.7726805460,77.2681,128,interp512,rf
12000,5,0.7725094097,77.2509,4,0.7726805460,77.2681,128,interp512,rf
12000,6,0.7718104754,77.1810,4,0.7726805460,77.2681,128,interp512,rf
12000,7,0.7696481184,76.9648,4,0.7726805460,77.2681,128,interp512,rf
12000,8,0.7528890568,75.2889,4,0.7726805460,77.2681,128,interp512,rf
13000,0,0.5743632911,57.4363,4,0.7729580001,77.2958,128,interp512,rf
13000,1,0.7243142527,72.4314,4,0.7729580001,77.2958,128,interp512,rf
13000,2,0.7427461219,74.2746,4,0.7729580001,77.2958,128,interp512,rf
13000,3,0.7688312641,76.8831,4,0.7729580001,77.2958,128,interp512,rf
13000,4,0.7729580001,77.2958,4,0.7729580001,77.2958,128,interp512,rf
13000,5,0.7714405236,77.1441,4,0.7729580001,77.2958,128,interp512,rf
13000,6,0.7711502960,77.1150,4,0.7729580001,77.2958,128,interp512,rf
13000,7,0.7699509121,76.9951,4,0.7729580001,77.2958,128,interp512,rf
13000,8,0.7534678862,75.3468,4,0.7729580001,77.2958,128,interp512,rf
14000,0,0.5737105833,57.3711,4,0.7726119415,77.2612,128,interp512,rf
