config_label,dataset,last_step,best_layer_median,L0_median,L0_std,L1_median,L1_std,L2_median,L2_std,L3_median,L3_std,L4_median,L4_std,L5_median,L5_std,L6_median,L6_std,L7_median,L7_std,L8_median,L8_std
JEPA (CLS),PTBXL,20000,8,0.5060563661067838,0.0010937634123318557,0.7988034950114844,0.009748776180901801,0.8126140868447874,0.012856874336527897,0.8435586301345228,0.011137201257686805,0.8575190851889181,0.006949113907010145,0.8698335259421393,0.00820944444716538,0.8800222855369054,0.0069694642781259275,0.8863210661095002,0.003828092257187304,0.8904674665299868,0.003420110911197285
JEPA (Mean),PTBXL,20000,8,0.6092117364696932,0.003476395191942372,0.8209102244651856,0.006090707415097675,0.8500161653924593,0.004432909126623988,0.8660059564097085,0.005699630393185244,0.8727913301265586,0.005790564445254096,0.8733329884201559,0.00692516889791768,0.8811918852513188,0.006524510287706349,0.8880516852681103,0.005479789845456981,0.8917170868479303,0.0033263562125980654
NEPA,PTBXL,20000,5,0.6036356600879157,0.0064384454014453085,0.8048519600920724,0.007249527728642617,0.8272919027423513,0.01042163238120716,0.8474860438667645,0.00827948218580139,0.8555110354550546,0.005863729047220498,0.8564521261837766,0.005851345286615471,0.8498799093915044,0.006588261006206037,0.8493872458327013,0.006852444712942676,0.8376706749876085,0.0060368040703089
NEPA +Proj,PTBXL,20000,3,0.5972274512994733,0.005527400924087967,0.8221270346995905,0.01007756193785365,0.8396776683123626,0.015289681217180306,0.848978968597162,0.009301554988823868,0.8441012408657085,0.012104652094607402,0.8398807560631674,0.00886618058708994,0.8345301481170357,0.009812389051657214,0.8372569790000512,0.014476059947367899,0.8207666301613684,0.007381749647870651
LeNEPA (T20 L0-8),PTBXL,20000,5,0.6130555893179365,0.0034064469518249054,0.8163260012688325,0.004382145297358951,0.833377977267973,0.011747227907185385,0.8620992055741385,0.012006439705325124,0.8799652149178511,0.0061668104570258815,0.8801578770756753,0.004980378121317268,0.8694742947713376,0.005466593514793042,0.8639076378105859,0.01115523458506691,0.8353618908484948,0.014067557313931525
LeNEPA (BRI20 L0-8),PTBXL,20000,5,0.6236862273160417,0.006330359605334234,0.8205236220073444,0.004717821592043718,0.8351867770060967,0.009321055886447572,0.8518913093493621,0.007539914076725981,0.8598291822490269,0.00667691088908475,0.8602829246715795,0.00604715951605353,0.854864851369048,0.009152407203759602,0.8467079279379146,0.008220299456904777,0.8382754146744877,0.008577999719527715
