config_label,dataset,last_step,best_layer_median,L0_median,L0_std,L1_median,L1_std,L2_median,L2_std,L3_median,L3_std,L4_median,L4_std,L5_median,L5_std,L6_median,L6_std,L7_median,L7_std,L8_median,L8_std
JEPA (CLS),AIONO,20000,5,0.6768218916560089,0.0001795081382711587,0.573695322413426,0.005790539962979633,0.5384976497159832,0.007097413515295152,0.5247772867636966,0.00821247873160975,0.5214918009711869,0.007258767698353927,0.5192861148039292,0.008007790847153732,0.5244187290576063,0.009098141509909338,0.523979045842154,0.010589447660479567,0.5256090891920373,0.010957126248758999
JEPA (Mean),AIONO,20000,7,0.6379123813484167,0.0019804597742833466,0.5811907166506121,0.006525503163369262,0.5632592286953714,0.0057196943170976875,0.5579670254582221,0.003897595467195932,0.5568579378882161,0.007870417292889712,0.5552793432963787,0.009074368262520798,0.5544047334806701,0.009077742368351203,0.5542030214469824,0.008985796117764493,0.5571476955012251,0.00952325058482323
NEPA,AIONO,20000,4,0.6190621178055096,0.001423102440708498,0.5141505338223471,0.005574270608889407,0.48437370665057955,0.004835673825288753,0.4701088839868156,0.0049977151766221065,0.46314976563192,0.004311689034374925,0.46405790336626773,0.011020363331102897,0.4894162418847304,0.027796481274394953,0.6096608727246381,0.03794660562788088,0.46951370146073257,0.005552229632003035
NEPA +Proj,AIONO,20000,4,0.6150663160047926,0.0008473789481800869,0.45258367019505985,0.004905704914799883,0.40758094138003703,0.005187171734922403,0.3889879971602707,0.0036244484516555933,0.3821570511688027,0.0037000417584626345,0.3970826628801793,0.00976117951304037,0.45246791680682996,0.006713324099043276,0.49926882292619945,0.006222306800261601,0.5317117346267681,0.0052540870390152825
LeNEPA (T20 L0-8),AIONO,20000,7,0.6227209388642773,0.0019781022097962913,0.4959716198749736,0.003713423357380371,0.44959721956205034,0.006995155966688584,0.42556012097380536,0.00670900042625735,0.4167663139111072,0.006419603547820732,0.41823040206583617,0.005530050595113968,0.42190627216109167,0.005813553331432277,0.4051225212813487,0.004650600428923882,0.4297008084093005,0.005094714982883425
LeNEPA (BRI20 L0-8),AIONO,20000,8,0.6183334880670803,0.0026171553406268418,0.5039661097817658,0.009769844622139813,0.4570306489545043,0.011973209608429633,0.4441711959845085,0.008953346716868161,0.44295388502963406,0.009826735491336619,0.44150414674174976,0.008893176557532563,0.43785685534871477,0.008683146615849947,0.42836073488022103,0.0034593738013800235,0.3916809639121743,0.0041654749356868585
