model,config,ptbxl_step,aiono_step,ptbxl_auroc_noproj_median,ptbxl_auroc_noproj_std,ptbxl_auroc_proj_median,ptbxl_auroc_proj_std,ptbxl_auroc_improvement_median,ptbxl_auprc_noproj_median,ptbxl_auprc_noproj_std,ptbxl_auprc_proj_median,ptbxl_auprc_proj_std,ptbxl_auprc_improvement_median,aiono_auroc_noproj_median,aiono_auroc_noproj_std,aiono_auroc_proj_median,aiono_auroc_proj_std,aiono_auroc_improvement_median,aiono_auprc_noproj_median,aiono_auprc_noproj_std,aiono_auprc_proj_median,aiono_auprc_proj_std,aiono_auprc_improvement_median,aiono_mse_noproj_median,aiono_mse_noproj_std,aiono_mse_proj_median,aiono_mse_proj_std,aiono_mse_improvement_median,aiono_mae_noproj_median,aiono_mae_noproj_std,aiono_mae_proj_median,aiono_mae_proj_std,aiono_mae_improvement_median,aiono_pearson_noproj_median,aiono_pearson_noproj_std,aiono_pearson_proj_median,aiono_pearson_proj_std,aiono_pearson_improvement_median,aiono_r2_noproj_median,aiono_r2_noproj_std,aiono_r2_proj_median,aiono_r2_proj_std,aiono_r2_improvement_median
NEPA,,20000,20000,0.8598895215540678,0.003918155853590105,0.8521321217862086,0.009537709378190746,-0.007757399767859274,0.2724550446579238,0.005272389422876451,0.2659419165238236,0.008775873522643526,-0.00651312813410021,0.8311204154860323,0.004678720800709602,0.8966556371104402,0.002555110479902691,0.06553522162440784,0.5130387211806349,0.006600891498422573,0.6118155561094772,0.0077032433202694145,0.09877683492884237,1.0006750811636564,0.009672517199454788,0.8270719919809171,0.008573725596193663,0.17360308918273937,0.46095973387246536,0.003541397101892912,0.3821570511688027,0.0037000417584626345,0.07880268270366264,0.522228628565373,0.004683334394311862,0.6100654864769539,0.007567647938282608,0.08783685791158091,0.19698891901223248,0.024378366544869974,0.34801006576246335,0.023543285113204634,0.15102114675023087
LeNEPA,T20 L0-8,20000,20000,0.8641706829486728,0.004172247449494353,0.8813092442977132,0.0031877991875375452,0.01713856134904035,0.25927912992227853,0.004825392290151012,0.2872750785405893,0.006774908398234231,0.027995948618310784,0.8478638771567586,0.003928441924987876,0.920081386044624,0.001506135047118268,0.07221750888786538,0.5880088048574882,0.011270539477486704,0.6507060599876676,0.0040116603294294475,0.06269725513017943,0.8860250973517467,0.032196594781956404,0.7965474425188706,0.012951444965934221,0.08947765483287617,0.4487040101649225,0.018890189892491215,0.4051225212813487,0.004130685776085181,0.04358148888357383,0.5194092279359931,0.017420427891381353,0.5843658172482964,0.006732161386204238,0.0649565893123033,-0.21370228075102726,0.1388499556521362,0.16426517529677956,0.10574637404511011,0.3779674560478068
LeNEPA,BRI20 L0-8,20000,12000,0.8317532981410574,0.007671382028196465,0.8631651655529926,0.004521226143539182,0.031411867411935246,0.24538640235532205,0.005194104624862784,0.2781560024343191,0.0067318108646743065,0.03276960007899704,0.8677256730285893,0.006088124991372606,0.9021509567852213,0.0015276494309575165,0.03442528375663201,0.5669005304299515,0.009468252701110957,0.6079047690048012,0.003382250224067541,0.041004238574849694,0.9752835882486063,0.010384181147855658,0.8337185647695045,0.010096099718023785,0.14156502347910183,0.5022894416592003,0.004435852432791073,0.3961120450826465,0.004089907203414267,0.10617739657655378,0.4881110603723551,0.007697811120335802,0.5895497297787222,0.006597429726852925,0.10143866940636714,-0.7668795246106017,0.3375284245049654,-0.4370740474375173,0.22845807640091975,0.3298054771730844
