family,config,config_label,ptbxl_auroc_median,ptbxl_auroc_std,ptbxl_delta_auroc_median,ptbxl_delta_auroc_std,ptbxl_auprc_median,ptbxl_auprc_std,ptbxl_delta_auprc_median,ptbxl_delta_auprc_std,aiono_auroc_median,aiono_auroc_std,aiono_delta_auroc_median,aiono_delta_auroc_std,aiono_auprc_median,aiono_auprc_std,aiono_delta_auprc_median,aiono_delta_auprc_std,aiono_mse_median,aiono_mse_std,aiono_delta_mse_median,aiono_delta_mse_std,aiono_mae_median,aiono_mae_std,aiono_delta_mae_median,aiono_delta_mae_std,aiono_pearson_median,aiono_pearson_std,aiono_delta_pearson_median,aiono_delta_pearson_std,aiono_r2_median,aiono_r2_std,aiono_delta_r2_median,aiono_delta_r2_std
JEPA,CLS,JEPA (CLS),0.8910394978458896,0.003515828379014563,0.08983517486967035,0.007753274550021145,0.2872715398209311,0.00983443231990456,0.10807941375273408,0.008642222279082734,0.880091359540349,0.013393005722064538,0.10787898301287907,0.014455567320423107,0.5974959714781429,0.028095942619680656,0.19491764876153653,0.028857847004162492,1.0646615835626676,0.013747101550287326,-0.13010634579247493,0.01619441883898777,0.5153805687964065,0.005843155774324677,-0.04682286680856579,0.008406297912413846,0.47981294412511644,0.012917794523591911,0.0675253213658116,0.01365194070658095,-0.00455202883597285,0.024861754931799915,0.000502634518832621,0.027592740869921296
JEPA,Mean,JEPA (Mean),0.8918217476511876,0.0034111838862949237,0.08919476598467552,0.0044480475783061765,0.2980363734254887,0.00526636641954451,0.1063988736880854,0.006508887572097792,0.8717014439142876,0.007668116874447831,0.1014705565128281,0.00696732503679762,0.5755442723953165,0.01647082816179686,0.1719755471264886,0.01499488795494165,1.1127101464543592,0.01394490769294601,-0.10126899099423703,0.01539135593707412,0.5478984478610689,0.0051595078706733535,-0.02911276329705703,0.006176783223983427,0.462010393438491,0.011120733796882304,0.057221643338455114,0.012039525323177884,-0.5141563710015191,0.2912610110377856,-0.3822401782689201,0.3094496164785911
NEPA,,NEPA,0.8598895215540678,0.003918155853590105,0.09533498249095629,0.008869581187581979,0.2724550446579238,0.005272389422876451,0.10285012624956429,0.00786094899989374,0.8311204154860323,0.004678720800709602,0.054116862509757835,0.007463088815001225,0.5130387211806349,0.006600891498422573,0.11020938694733179,0.008630790003197357,1.0006750811636564,0.009672517199454788,-0.10717584114566148,0.01198518251464516,0.46095973387246536,0.003541397101892912,-0.08343063323795874,0.00529025301283125,0.522228628565373,0.004683334394311862,0.07219924213326348,0.006629243136215517,0.19698891901223248,0.024378366544869974,0.35902555802196434,0.08443318706674627
NEPA,+Proj,NEPA +Proj,0.8521321217862086,0.009537709378190746,0.09401621755977596,0.012288467316999282,0.2659419165238236,0.008775873522643526,0.09816098482683774,0.011102418996236514,0.8966556371104402,0.002555110479902691,0.11476298761456888,0.006136310085096823,0.6118155561094772,0.0077032433202694145,0.2080808436147688,0.008052789169923186,0.8270719919809171,0.008573725596193663,-0.27730235952265186,0.0187136776250849,0.3821570511688027,0.0037000417584626345,-0.16268337194705085,0.008396454572839536,0.6100654864769539,0.007567647938282608,0.16308115621715039,0.010086985071124235,0.34801006576246335,0.023543285113204634,0.4848074993498257,0.07636961044633316
LeNEPA,T20 L0-8,LeNEPA (T20 L0-8),0.8813092442977132,0.0031877991875375452,0.11666994519056983,0.006298172813181609,0.2872750785405893,0.006774908398234231,0.12191220218234967,0.007493548340688056,0.920081386044624,0.001506135047118268,0.14073627973253255,0.003675609381858981,0.6507060599876676,0.0040116603294294475,0.24312182675409905,0.008893865717245335,0.7965474425188706,0.012951444965934221,-0.3098546595551475,0.016549823109850963,0.4051225212813487,0.004130685776085181,-0.14001358082284648,0.00787967732005885,0.5843658172482964,0.006732161386204238,0.13854432046776177,0.009213013619893708,0.16426517529677956,0.10574637404511011,0.30734877300746666,0.1406231789387548
