config_label,dataset,last_step,best_layer_median,L0_median,L0_std,L1_median,L1_std,L2_median,L2_std,L3_median,L3_std,L4_median,L4_std,L5_median,L5_std,L6_median,L6_std,L7_median,L7_std,L8_median,L8_std
JEPA (CLS),AIONO,20000,8,1.4568534437478902,0.0003715288820539853,1.2148423831476194,0.011038349175114969,1.139185198537769,0.01861603392763798,1.0983082006342104,0.018709032313270636,1.0868713046249103,0.015090902262850758,1.074623656018142,0.017029235905071445,1.0716837025164663,0.014564077492994333,1.069166676220016,0.016710781017659482,1.0676768920028858,0.018242934295455458
JEPA (Mean),AIONO,20000,6,1.3745076391697877,0.00415525731120636,1.2170435807321178,0.013367624367866742,1.1589601344324492,0.016675243004435413,1.1374005084081116,0.010756824096371683,1.1318082174221864,0.012490423537126961,1.131231257229443,0.017571089515349095,1.122379211665709,0.020371326891198315,1.1233220345229946,0.018190787682420755,1.123752046426259,0.018752061262749448
NEPA,AIONO,20000,4,1.3533814346078465,0.004065440887730375,1.141049573153861,0.01340866069372087,1.0666706646251953,0.014348933237870573,1.026399992822725,0.015374210741750759,1.00917599837326,0.012778918735012601,1.0107672588759267,0.031441121888046826,1.0781118540617856,0.06060642842996693,1.3222774214280744,0.07667507152882694,1.0131988814456783,0.013261993412933106
NEPA +Proj,AIONO,20000,3,1.354939304922505,0.003561295188689174,0.9870481745130436,0.009639278005748384,0.8693301675849403,0.011999559611712172,0.8280288318423736,0.009430373280750085,0.8285896489344066,0.00982346018774842,0.8826315468791248,0.022933181351952672,0.9991553242481269,0.013177128101593135,1.0955418423729968,0.01224972790653331,1.1604745541389208,0.009608929779933053
LeNEPA (T20 L0-8),AIONO,20000,4,1.3606786035701166,0.006763967302434035,1.032895675391631,0.012213120678617819,0.8957047586358108,0.01632842558800972,0.8223383996473186,0.012909211763780005,0.807905373428192,0.01378981202240208,0.8089905633556862,0.016277685159011016,0.8193773588313875,0.013738101042834593,0.8213275573866392,0.011991044964835516,0.9299649627751735,0.014025738181653247
LeNEPA (BRI20 L0-8),AIONO,20000,8,1.355944093234907,0.0047523140501931705,1.0587546545974127,0.01038359305094709,0.9408024596361341,0.020443746288029453,0.9044072383110076,0.01818113108432726,0.897283127930032,0.021730964806982757,0.8812241896600477,0.018632457828446657,0.8673524415615563,0.02206439075733649,0.8530054553590101,0.014084060739037563,0.8321842168217379,0.01201883965940049
