family,config_label,config_detail,n_seeds,ptbxl_step_time_median_s,ptbxl_step_time_std_s,aiono_step_time_median_s,aiono_step_time_std_s,min_step,max_step
JEPA,JEPA (CLS),CLS,10,0.07390087842941281,0.0011527171047461787,0.07579505443572995,0.0019157072744815948,1000,20000
JEPA,JEPA (Mean),Mean,10,0.07334011793136593,0.0013272564626158596,0.07632344961166379,0.0022173442649448434,1000,20000
NEPA,NEPA,,10,0.04831111431121825,0.00012564165545300663,0.051666498184204074,0.0004138607515994357,1000,20000
NEPA,NEPA +Proj,+Proj,10,0.05010944604873655,0.00019485481475920666,0.05386173725128173,0.0002442285741926496,1000,20000
LeNEPA,LeNEPA (T20 L0-8),T20 L0-8,10,0.07176774740219115,0.00029815318691200205,0.0754674673080444,0.0003288209339823813,1000,20000
LeNEPA,LeNEPA (BRI20 L0-8),BRI20 L0-8,10,0.09287142753601074,0.00019948071530563925,0.09647107124328613,0.0006449736282656461,1000,20000
