config_label,dataset,last_step,best_layer_median,L0_median,L0_std,L1_median,L1_std,L2_median,L2_std,L3_median,L3_std,L4_median,L4_std,L5_median,L5_std,L6_median,L6_std,L7_median,L7_std,L8_median,L8_std
JEPA (CLS),AIONO,20000,0,-0.005520869180986502,0.0029290265784943864,-0.14264335431331795,0.17054985028854985,-0.9869236924083009,0.3866238957606655,-2.3954958391032557,0.9323402744458972,-3.88016252427193,2.773546362209004,-6.517209775266982,3.2946089907020957,-7.84914623034021,5.636977476951778,-12.336487823406781,4.285543665983213,-11.088825821124892,6.272889623020492
JEPA (Mean),AIONO,20000,0,-0.5141563710015191,0.2912610110377856,-6.730421127851849,3.873017325926857,-11.973045228803642,4.603736695025836,-15.0045872567711,3.651274310019869,-17.412291211423305,9.724231394174698,-20.60995863716829,5.7666161280116475,-23.13494431666873,6.831991433118167,-23.335414033060786,7.225146796937025,-26.615630654177302,6.953328965639848
NEPA,AIONO,20000,6,-0.019123589070880825,0.028879119788696582,-0.009874504922210248,0.1650811602675459,0.0666359322470958,0.13287130376816442,0.04524657249738327,0.4240919484930719,0.015277944072355271,0.1882201307154265,0.09859983517567188,0.1415254712046907,0.14851679662951278,0.06118558750769353,0.11625968556429805,0.05489401590867911,-0.04763799705873667,0.1302150777871326
NEPA +Proj,AIONO,20000,6,-0.12587198704150135,0.07369737588106524,-0.7660302474558489,1.2065104815826453,-4.3387938384560485,1.200202524602099,-2.6751233290272514,0.725600929164619,-0.5713330582801811,0.41395208810261086,0.2360969165982006,0.09786557992851148,0.34563551136993564,0.03810439011920462,0.31689237342740284,0.017212881989904,0.2977403313865635,0.011714132018765306
LeNEPA (T20 L0-8),AIONO,20000,8,-0.6942982936618002,0.2944477127909541,-7.295640451524655,4.7398978561238865,-17.981695361256484,5.970230021716729,-18.720956259073255,6.082502567118337,-12.847804264697716,3.817493001291143,-9.925881564106508,3.032178939363309,-7.636979222309483,4.08598892820299,-3.1268074954111307,1.4216580307555324,0.16426517529677956,0.10574637404511011
LeNEPA (BRI20 L0-8),AIONO,20000,0,-0.2349969403950599,0.16290929743737897,-6.612384211315794,5.337219726223233,-10.383945018429275,6.670834347852159,-14.385921313238839,3.9056647123458927,-12.574592509093991,8.045166268686348,-13.078189959207085,2.753741617064848,-11.704719361116336,1.9903116182759346,-9.575340762973816,3.274314188314475,-0.7089179667271257,0.3867779623305932
