config_label,dataset,last_step,best_layer_median,L0_median,L0_std,L1_median,L1_std,L2_median,L2_std,L3_median,L3_std,L4_median,L4_std,L5_median,L5_std,L6_median,L6_std,L7_median,L7_std,L8_median,L8_std
JEPA (CLS),AIONO,20000,8,0.5,0.0,0.771456881409635,0.011425190120206562,0.8064060644334042,0.010393292212604871,0.8292128127101293,0.01433564753957542,0.846916783145494,0.01287857520068129,0.8605473897707269,0.014016751323968943,0.8692738560268041,0.014833561114945102,0.8751367896771034,0.012309057151691111,0.880091359540349,0.01404611166212069
JEPA (Mean),AIONO,20000,8,0.6169987605892293,0.004698155239286332,0.7821257165510933,0.013215690290155919,0.8080243418447143,0.01122913554922057,0.8261607456502081,0.012159153026591962,0.8368366869387664,0.008066200147435225,0.844641280203903,0.008948244298198554,0.8537582272873516,0.009781451012539933,0.8625432918624498,0.010812030300621733,0.8717014439142876,0.007668116874447831
NEPA,AIONO,20000,5,0.6256388376616966,0.0007605832005357533,0.7970095909029011,0.0058043620251753926,0.8154826989862999,0.004422533946643777,0.8246301186925133,0.005927676629674935,0.8283975161168855,0.005273389811370865,0.8284309299798979,0.008145956817973976,0.8150289201532896,0.014668254660466671,0.7617018558022621,0.019401408827054743,0.8207876859577621,0.0033767548240569377
NEPA +Proj,AIONO,20000,3,0.6154370628451139,0.0028295100722199127,0.8641591371553794,0.0015610611817353898,0.8851077321620963,0.0028909304631348793,0.8964233113711717,0.002296019105252178,0.8940433329727773,0.0034695155329814093,0.8872851614140789,0.005228305021992474,0.8692628485207827,0.00483594403025326,0.8560217610518157,0.003538991300119761,0.8423125133209862,0.0042065821842290985
LeNEPA (T20 L0-8),AIONO,20000,4,0.6208372057476597,0.0009460440780694434,0.8726391222674504,0.003133097842648052,0.9015890784875529,0.0023348700154465535,0.9177380973827105,0.0017145018039666133,0.9200424706867874,0.001514487338738405,0.9178043302755747,0.0018394934690403317,0.9138895183042504,0.0021447887710377687,0.9100836068042532,0.002336948160800468,0.8948957640510369,0.0015089762346859048
LeNEPA (BRI20 L0-8),AIONO,20000,5,0.6214420216417063,0.001861351270885083,0.8595481798367215,0.0043673728610847335,0.8896178228917818,0.0029223606862777297,0.8971266222778587,0.0020274529829454753,0.901574070172968,0.0019932649905170063,0.9036334190180816,0.0018992081737206623,0.9026755464870658,0.0015930630309708522,0.9015171600649396,0.0014950546259379872,0.8970409372918942,0.0009965425029625637
