config_label,dataset,last_step,best_layer_median,L0_median,L0_std,L1_median,L1_std,L2_median,L2_std,L3_median,L3_std,L4_median,L4_std,L5_median,L5_std,L6_median,L6_std,L7_median,L7_std,L8_median,L8_std
JEPA (CLS),Aionoscope,20000,7,3.6288964159211053e-09,1.2260088882411702e-08,0.35397849392400904,0.013519694294068489,0.4180841267260462,0.00847083690444533,0.4351869369272555,0.017794242893553996,0.45032662736826,0.0100274487705184,0.46521247901116686,0.011837848108462017,0.4621376555243115,0.012034685300312636,0.4711184112576675,0.014222952843799855,0.4663599256674572,0.013566950075939999
JEPA (Mean),Aionoscope,20000,7,0.23477434607625852,0.00692245026938563,0.3895533242412975,0.012476757932883746,0.4217257391819774,0.009689948317196497,0.4382363528368963,0.014519247223646744,0.44597495979593615,0.013442048345125626,0.4481415944132462,0.017979402823702223,0.453640532592511,0.014098052127690006,0.45866557639006356,0.012540324570760314,0.45293792181857817,0.014287085604795035
NEPA,Aionoscope,20000,8,0.24073303768599824,0.004858418069392741,0.4564074517754249,0.010571691003031201,0.4987645308059355,0.01035190400031373,0.5096700479013117,0.007377624540788856,0.5141342010520202,0.0055638931236165826,0.5149474345330911,0.01308352084313384,0.49457202594733785,0.03340582067108728,0.3406724830715744,0.054529821657955294,0.5179695979116976,0.005153183958385375
NEPA +Proj,Aionoscope,20000,4,0.23397045992795557,0.00592480742418752,0.522108861786148,0.013500595507832122,0.5680596210584645,0.01034549847521527,0.5987260927023481,0.011579079307592399,0.6082757309065661,0.007478190908519334,0.606645494725042,0.00958385915836696,0.5530746256283827,0.011026147676503196,0.508242400673266,0.010525452663232706,0.46579997408624974,0.00792771158647195
LeNEPA (T20 L0-8),Aionoscope,20000,4,0.28404490363921464,0.009558040806998567,0.4937993832883598,0.010443720746404801,0.5618776147674114,0.01409383799382581,0.5685203131557628,0.012847092994993753,0.5794594025944394,0.009599481943619075,0.5776354036926646,0.010257106525099074,0.5775680381048592,0.006969541477037918,0.5756554015645745,0.008982521314739082,0.5748242177316143,0.006508166486226455
LeNEPA (BRI20 L0-8),Aionoscope,20000,8,0.245848567405289,0.019841697996903395,0.4835983401213909,0.013406776902081259,0.5423095161924183,0.009421114263280794,0.5599374638420569,0.01432583255099976,0.5607164550650625,0.010110807783656499,0.5457388939306317,0.016793400418006324,0.5645600715647046,0.010422876984031467,0.5657542371677959,0.01234899572493587,0.603763560879959,0.005997678300784427
