config_label,dataset,last_step,best_layer_median,L0_median,L0_std,L1_median,L1_std,L2_median,L2_std,L3_median,L3_std,L4_median,L4_std,L5_median,L5_std,L6_median,L6_std,L7_median,L7_std,L8_median,L8_std
JEPA (CLS),Aionoscope,20000,8,0.14285714285714282,2.925694557147251e-17,0.4029303026650204,0.016814798273910758,0.4499217662592736,0.02354831676021606,0.49685673240484596,0.029815043250594402,0.5382675469118474,0.027714172876731287,0.5545026734676826,0.027387621801847218,0.5706303948652574,0.02869702029176692,0.589112509944302,0.02855406195693934,0.5971642850033898,0.02808917908575857
JEPA (Mean),Aionoscope,20000,8,0.208834097172273,0.003922463967749788,0.42575231209385517,0.02015875752421396,0.46861927935519043,0.017697205041646086,0.4963085282354071,0.01773207976408803,0.5125539937597505,0.012955519696648652,0.5242138694037808,0.0129711481662456,0.5375119937303536,0.016237817273419015,0.5503828279548018,0.019536235767630673,0.5755442723953165,0.01647082816179686
NEPA,Aionoscope,20000,5,0.2033869266856226,0.000338947283404571,0.4273876004523089,0.011523056178669996,0.4836203845689725,0.006500778170321672,0.5008978740364753,0.007361932227586737,0.5097998641836889,0.00620491998072676,0.5102800111417278,0.012731440270195661,0.4833046568882204,0.025937280227345334,0.36991008648031043,0.03935014305549704,0.5069342067384166,0.008394524152341867
NEPA +Proj,Aionoscope,20000,3,0.20426470260570714,0.0007987427623294108,0.5486149834951353,0.004182508036066332,0.5843688122483166,0.00783216733507066,0.6113891315787958,0.007995080758632783,0.6097932085957916,0.008530290674560657,0.5919337799542577,0.009356096518453497,0.5637863540373338,0.007313836524376155,0.5403113483584177,0.005462596016278878,0.5130601916602846,0.006780586850432042
LeNEPA (T20 L0-8),Aionoscope,20000,4,0.20489152105671848,0.0016366311547194273,0.5409982123204444,0.003933836924295283,0.6091143283103309,0.005769510463167373,0.6426494823534603,0.002971899423576593,0.6496336103864337,0.004310997862645424,0.6448776864761354,0.005828747399584032,0.6396426744760733,0.004433652739553954,0.6324875022540438,0.0038066087864494043,0.6073492851684318,0.0026979494874476945
LeNEPA (BRI20 L0-8),Aionoscope,20000,6,0.20475847008477388,0.002839506928239203,0.5289996355176199,0.005969002664716353,0.5850074862067143,0.005086645187328662,0.5969966208747147,0.00594656294829778,0.6040039741658775,0.006585982425369964,0.6096261685897333,0.007811287210009975,0.6121549156721371,0.003705589847354865,0.6107083031266367,0.003360997067805977,0.6009932428782976,0.002244415199672259
