family,config_label,selected,score,ptbxl_mean_rank,aiono_mean_rank,ptbxl_auprc,aiono_auprc,aiono_mse
JEPA,JEPA (CLS),True,1.5,2.0,1.0,0.2872715398209311,0.5974959714781429,1.0646615835626676
JEPA,JEPA (Mean),False,1.5,1.0,2.0,0.2980363734254887,0.5755442723953165,1.1127101464543592
LeNEPA,LeNEPA (T20 L0-8),True,1.1666666666666665,1.0,1.3333333333333333,0.2872750785405893,0.6507060599876676,0.7965474425188706
LeNEPA,LeNEPA (BRI20 L0-8),False,1.8333333333333335,2.0,1.6666666666666667,0.2781560024343191,0.6123671559188135,0.8321842168217379
NEPA,NEPA,False,1.5,1.0,2.0,0.2724550446579238,0.5130387211806349,1.0006750811636564
NEPA,NEPA +Proj,True,1.5,2.0,1.0,0.2659419165238236,0.6118155561094772,0.8270719919809171
