config_label,dataset,last_step,best_layer_median,L0_median,L0_std,L1_median,L1_std,L2_median,L2_std,L3_median,L3_std,L4_median,L4_std,L5_median,L5_std,L6_median,L6_std,L7_median,L7_std,L8_median,L8_std
JEPA (CLS),PTBXL,20000,8,0.04006360732236407,0.00014393041051117644,0.19274201863878293,0.006713714136297225,0.20896957198289806,0.00928188340282353,0.23280010159958742,0.011357032743353795,0.25072131849844737,0.014025804108962339,0.25847207345782397,0.013035013812719369,0.27982301147107574,0.013381794217839846,0.28604305829474574,0.009622233623340883,0.28658340096196067,0.009318142892295794
JEPA (Mean),PTBXL,20000,8,0.0852349681938176,0.002104512186767042,0.212575264269868,0.003279398427971054,0.24503542094868902,0.003946242445594495,0.264388687209699,0.004904197586428605,0.2765486290079235,0.00444725331041548,0.27901152866971934,0.004337753766241608,0.28884544357692066,0.0075628036420981445,0.29542307347522345,0.004305883845400974,0.2963333906814487,0.007098295116803254
NEPA,PTBXL,20000,5,0.08071454324413255,0.0007769814523460439,0.20141146763714576,0.006866863522590962,0.2381665963562764,0.010467344628540216,0.2584329463461761,0.009253395588555292,0.26361657254802273,0.007710072940063771,0.2663239289741231,0.005835525123368208,0.262196801652806,0.004861264523154954,0.2645236325135599,0.009772518870410748,0.25005990960090807,0.006925935097697607
NEPA +Proj,PTBXL,20000,3,0.08102857105145123,0.000651404105135494,0.22611413945746528,0.006002246788310756,0.2556154632004456,0.009459802985530272,0.26544204892763823,0.011002071011363742,0.2607791915146834,0.009764432183673137,0.25610854943433,0.009646266719599334,0.25033749563405594,0.009711984426104546,0.24274969353091605,0.013774696354546229,0.21234794830672532,0.006050957627201868
LeNEPA (T20 L0-8),PTBXL,20000,5,0.08366962306221909,0.0005307434146363605,0.21736269523694068,0.002916144995694098,0.2449729368253609,0.006787122154927278,0.2698921100346464,0.008693828260788187,0.28533394488372177,0.005022491277570973,0.2868005797965052,0.007103394263655399,0.27547955095182386,0.004659654725354738,0.2632260556748064,0.007237637117861926,0.2027687861604547,0.007751685114770626
LeNEPA (BRI20 L0-8),PTBXL,20000,5,0.08567561917784056,0.0008544831357944883,0.22105013512614902,0.00643969685878631,0.24886436095256675,0.008629382741826766,0.26783683612213555,0.010950980125385494,0.2750512139288923,0.007003075628407694,0.2781560024343191,0.004692693623907523,0.2685864610172771,0.004388339667462285,0.2532669569042011,0.005807122733630603,0.22815982124671855,0.002920032895307141
